lon,lat,region,State,Total,,,,,
-86.27912,32.36154,alabama,AL,2180,,,,,
-134.41974,58.30194,alaska,AK,0,,,,,
-112.07384,33.44846,arizona,AZ,57441,,,,,
-92.33112,34.73601,arkansas,AR,3000,,,,,
-121.46893,38.5556,california,CA,14262,,,,,
-104.98417,39.73917,colorado,CO,4495,,,,,
-72.677,41.767,conneticut,CT,200,,,,,
-75.52675,39.16192,delaware,DE,830,,,,,
-84.27277,30.4518,florida,FL,431,,,,,
-84.39,33.76,georgia,GA,32065,,,,,
-157.82618,21.30895,hawaii,HI,280,,,,,
-116.23765,43.61374,idaho,ID,15000,,,,,
-89.65037,39.78325,illinois,IL,1300,,,,,
-86.14768,39.79094,indiana,IN,11621,,,,,
-93.62087,41.59094,iowa,IA,4650,,,,,
-95.69,39.04,kansas,KS,9327,,,,,
-84.86311,38.19727,kentucky,KY,13626,,,,,
-91.14023,30.45809,los angeles,LA,3760,,,,,
-69.76526,44.32353,maine,ME,418,,,,,
-76.50116,38.97295,maryland,MD,580,,,,,
-71.0275,42.2352,massachusetts,MA,10605,,,,,
-84.5467,42.7335,michigan,MI,21823,,,,,
-93.094,44.95,minnesota,MN,1545,,,,,
-90.207,32.32,mississippi,MS,3250,,,,,
-92.18928,38.57295,missouri,MO,298,,,,,
-112.02703,46.5958,montana,MT,415,,,,,
-96.67534,40.80987,nebraska,NE,316,,,,,
-119.75388,39.16095,nevada,NV,7879,,,,,
-71.54913,43.22009,new hampshire,NH,322,,,,,
-74.75614,40.22174,new jersey,NJ,1716,,,,,
-105.96457,35.66723,new mexico,NM,3944,,,,,
-73.78134,42.65983,north carolina,NY,43928,,,,,
-78.638,35.771,north dakota,NC,17052,,,,,
-100.779,48.81334,new york,ND,1175,,,,,
-83.00065,39.96225,ohio,OH,31804,,,,,
-97.53499,35.48231,oklahoma,OK,660,,,,,
-123.02916,44.93111,oregon,OR,2872,,,,,
-76.87561,40.26979,pennsylvania,PA,2038,,,,,
-71.42213,41.82355,rhode island,RI,529,,,,,
-81.035,34,south carolina,SC,10892,,,,,
-100.33638,44.36797,south dakota,SD,1000,,,,,
-86.784,36.165,tennessee,TN,12957,,,,,
-97.75,30.26667,texas,TX,78236,,,,,
-111.89262,40.7547,utah,UT,11200,,,,,
-72.57194,44.26639,vermont,VT,170,,,,,
-77.46,37.54,virginia,VA,10469,,,,,
-122.89308,47.04242,washington,WA,1923,,,,,
-81.63329,38.3495,west virginia,WV,7673,,,,,
-89.38444,43.07472,wisconsin,WI,1941,,,,,
-104.80204,41.14555,wyoming,WY,2260,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,