Company,Investment,Address,City,State,LAT,LON,Industry,Jobs,Announcement Date
PSE&G,166,NJ,Statewide,Statewide,39.833851,-74.871826,EVs & Batteries,270,1/29/21
Microvast,220,"Clarksville, TN",Clarksville,TN,36.5308,-87.3598,EVs & Batteries,287,2/1/21
Biosimilar Solutions,200,"Aguadilla, PR",Aguadilla,PR,18.43,-67.1544,Biomanufacturing,328,2/3/21
WEC Energy Group,426,"Milwaukee, WI",Milwaukee,WI,43.04181,-87.90684,Clean Energy,N/A,2/16/21
WEC Energy Group,302,"Bourbon and Crawford Counties, KS",Bourbon and Crawford Counties,KS,38.2171,-94.9,Clean Energy,N/A,3/1/21
Xcel Energy Inc.,1700,"Eastern Plains, CO",Eastern Plains,CO,38.635224,-103.2,Clean Energy,N/A,3/3/21
Biogen,200,"Durham, NC",Durham,NC,35.9886,-78.9072,Biomanufacturing,90,3/4/21
WEC Energy Group,446,"Rock & Walworth Counties, WI",Rock & Walworth Counties,WI,42.6252,-89.0179,Clean Energy,N/A,3/16/21
Nucor,164,"Warsaw, KY",Warsaw,KY,38.7833,-84.8994,Heavy Industry,72,3/25/21
Alliant Energy,1500,Statewide,Statewide,Statewide,44.7,-89.38,Clean Energy,N/A,3/31/21
Ultium Cells,2500,Multi-state,Multi-state,Multi-state,41.242,-80.82,EVs & Batteries,5100,4/1/21
Clearway Energy Group,280,"Mililani and Waiawa, HI",Mililani and Waiawa,HI,21.446031,-158.01129,Clean Energy,N/A,4/8/21
Xcel Energy,575,"Becker, MN",Becker,MN,45.393641,-93.876542,Clean Energy,N/A,4/13/21
Abzena ,213,"Sanford, NC",Sanford,NC,35.4788,-78.18054,Biomanufacturing,325,4/13/21
WEC Energy Group,649,"Dane County, WI",Dane County,WI,43.0186,-89.5498,Clean Energy,N/A,4/30/21
Intel,3500,"Rio Rancho, NM",Rio Rancho,NM,35.2861,-106.6706,Semiconductors & Electronics,700,5/3/21
Lonza Biologics Inc,222,"Portsmouth, NH",Portsmouth,NH,43.0756,-70.7606,Biomanufacturing,N/A,5/6/21
CARsgen Therapeutics,157,"Durham, NC",Durham,NC,35.9886,-78.9072,Biomanufacturing,200,5/20/21
First Solar,865,"Toledo, OH",Toledo,OH,41.656555,-83.57426,Clean Energy,700,6/9/21
Volvo,118,"Ridgeville, SC",Ridgeville,SC,33.0933,-80.3133,EVs & Batteries,N/A,6/16/21
Dominion Energy,669,"TBD, VA",TBD,VA,38.00339,-79.42093,Clean Energy,N/A,6/22/21
Orsted,735,Delmarva Region,Delmarva Region,DE,38.336502,-75.084908,Clean Energy,1400,7/7/21
Materion,80,"Berks County, PA",Berks County,PA,40.3452,-75.9928,Heavy Industry,N/A,7/7/21
Edison International,436,Southern California,Southern California,CA,34.169,-117.7847,EVs & Batteries,N/A,7/12/21
Summit AG,350,"Phillipsburg, KS",Phillipsburg,KS,39.756121,-99.323985,Biomanufacturing,N/A,7/12/21
Arconic ,100,"Maryville, TN",Maryville,TN,35.7497,-83.9758,Heavy Industry,200,7/13/21
SK Siltron CSS,300,"Bay City, MI",Bay City,MI,43.581248,-83.883535,Semiconductors & Electronics,150,7/14/21
GlobalFoundries,1000,"Saratoga County, NY",Saratoga County,NY,43.086711,-73.8667,Semiconductors & Electronics,1000,7/19/21
Takeda,126,"Thousand Oaks, CA",Thousand Oaks,CA,34.18,-118.9,Biomanufacturing,N/A,7/22/21
Cytiva / Pall Corp,600,TBD,TBD,TBD,N/A,N/A,Biomanufacturing,N/A,7/27/21
KORE Power,1000,"Buckeye, AZ",Buckeye,AZ,33.370464,-112.583549,EVs & Batteries,3000,7/29/21
BeiGene,700,"Hopewell, NJ",Hopewell,NJ,40.38,-74.76,Biomanufacturing,100,8/3/21
Amgen,550,"Holly Springs, NC",Holly Springs,NC,35.65666,-78.8376,Biomanufacturing,355,8/3/21
Novozymes,316,"Blair, NE",Blair,NE,41.544697,-96.13507,Biomanufacturing,80,8/12/21
"Ford, SK Innovation",5800,"Glendale, KY",Glendale,KY,37.601727,-85.905519,EVs & Batteries,5000,9/1/21
"Ford, SK Innovation",5600,"Stanton, TN",Stanton,TN,35.461101,-89.400497,EVs & Batteries,6000,9/1/21
Linde,600,"Phoenix, AZ",Phoenix,AZ,33.4484,-112.0667,Semiconductors & Electronics,N/A,9/8/21
Thermo Fisher ,154,"Greenville, NC",Greenville,NC,35.6017,-77.3725,Biomanufacturing,290,9/14/21
Eversource,250,Statewide; CT and MA,Statewide; CT and MA,Multi-state,41.748935,-72.653992,EVs & Batteries,N/A,9/30/21
Prysmian,200,"Brayton Point, MA",Brayton Point,MA,41.7070465,-71.193935,Heavy Industry,250,10/7/21
Bartlett,325,"Montgomery County, KS",Montgomery County,KS,37.0959081,-95.7652572,Biomanufacturing,50,10/12/21
Catalent,230,"Harmans, MD",Harmans,MD,39.1599,-76.6988,Biomanufacturing,N/A,10/26/21
GE Appliances,450,"Louisville, KY",Louisville,KY,38.188805,-85.67677,Heavy Industry,1000,10/28/21
Toyota,461,"Georgetown, KY",Georgetown,KY,38.205334,-84.56237,EVs & Batteries,N/A,10/29/21
Alliant Energy,750,"Linn County, IA",Linn County,IA,41.3333,-91.238,Clean Energy,N/A,11/2/21
Dominion Energy,9800,"Virginia Beach, VA",Virginia Beach,VA,36.795669,-76.012628,Clean Energy,900,11/5/21
Amgen ,365,"Columbus, OH",Columbus,OH,40.0515,-82.4615,Biomanufacturing,400,11/5/21
Aurubis ,340,"Augusta, GA",Augusta,GA,33.4667,-81.9667,EVs & Batteries,125,11/10/21
Toyota,313,"Putnam County, WV",Putnam County,WV,38.61716,-81.98197,EVs & Batteries,N/A,11/11/21
List Biotherapeutics,125,"Fishers, IN",Fishers,IN,39.9561,-86.0128,Biomanufacturing,210,11/11/21
Canoo,560,"Oklahoma City and Pryor, OK",Oklahoma City and Pryor,OK,35.4822,-97.535,EVs & Batteries,700,11/15/21
Texas Instruments,30000,"Sherman, TX",Sherman,TX,33.6356,-96.609,Semiconductors & Electronics,3000,11/17/21
TerraPower,2000,"Kemmerer, WY",Kemmerer,WY,41.7894,-110.5464,Clean Energy,2000,11/17/21
Hydro Aluminum,150,"Cassopolis, MI",Cassopolis,MI,41.910013,-86.0101,Heavy Industry,67,11/18/21
Samsung,17000,"Taylor, TX",Taylor,TX,30.93,-96.84,Semiconductors & Electronics,2000,11/24/21
Thermo Fisher,105,"Lebanon, TN",Lebanon,TN,36.2131,-86.3065,Biomanufacturing,1400,11/24/21
Tesla,10000,"Austin, TX",Austin,TX,30.26759,-97.74299,EVs & Batteries,20000,12/1/21
Arrival,287,"Charlotte, NC",Charlotte,NC,35.20315,-80.8398,EVs & Batteries,620,12/6/21
EMD Electronics,1000,TBD,TBD,TBD,N/A,N/A,Semiconductors & Electronics,140,12/7/21
Siemens,250,"Charlotte, NC",Charlotte,NC,35.227085,-80.843124,Heavy Industry,500,12/7/21
Sinova Global,150,"Tiptonville, TN",Tiptonville,TN,36.3775,-89.4761,EVs & Batteries,140,12/7/21
Evolve Biologics ,200,"Sachse, TX",Sachse,TX,32.9764,-96.5861,Biomanufacturing,300,12/10/21
Rivian,5000,"Madison, GA",Madison,GA,33.5881,-83.4725,EVs & Batteries,7500,12/16/21
Arrowhead Pharmaceuticals,250,"Verona, WI",Verona,WI,42.987,-89.5786,Biomanufacturing,250,12/22/21
GM and LG Energy,2600,"Lansing, MI",Lansing,MI,42.73194,-84.55225,EVs & Batteries,1700,1/1/22
General Motors,154,"Lockport, NY",Lockport,NY,43.1689,-78.6968,EVs & Batteries,230,1/1/22
Continuus Pharmaceuticals,125,"Woburn, MA",Woburn,MA,42.4791,-71.1518,Biomanufacturing,N/A,1/4/22
U.S. Steel,3000,"Osceola, AR",Osceola,AR,35.710304,-89.97161,Heavy Industry,900,1/11/22
MidAmerican Energy,3900,"TBD, IA",TBD,IA,41.59,-93.62,Clean Energy,1225,1/19/22
DTE Energy,388,Southeast Michigan,Southeast Michigan,MI,41.903885,-84.055141,Clean Energy,N/A,1/19/22
Berkshire Hathaway Energy,TBD,"Des Moines, IA",Des Moines,IA,41.5868,-93.625,Clean Energy,125,1/19/22
Sunlit Chemical,100,"Phoenix, AZ",Phoenix,AZ,33.44277,-112.072754,Semiconductors & Electronics,N/A,1/20/22
GM,4000,"Orion Township, MI",Orion Township,MI,42.7656,-83.2669,EVs & Batteries,2350,1/22/22
GM,510,"Lansing, MI",Lansing,MI,42.7336,-84.5539,EVs & Batteries,N/A,1/22/22
Boom Supersonic,500,"Greensboro, NC",Greensboro,NC,36.0744,-79.81155,Clean Energy,1761,1/26/22
Eli Lilly,1000,"Concord, NC",Concord,NC,35.4087,-80.5792,Biomanufacturing,600,1/31/22
"NextEra Energy, Inc.",650,Multi-state,Multi-state,Multi-state,N/A,N/A,EVs & Batteries,N/A,1/31/22
Nissan,500,"Canton, MS",Canton,MS,32.6139,-90.0349,EVs & Batteries,N/A,2/1/22
Hyperion,297,"Columbus, OH",Columbus,OH,39.982951,-82.990829,EVs & Batteries,700,2/2/22
Black Hills Corporation,260,"TBD, WY",TBD,WY,41.14753,-104.7674,Clean Energy,N/A,2/15/22
Syrah Technologies,224,"Vidalia, LA",Vidalia,LA,31.55,-91.62,EVs & Batteries,120,2/15/22
Iberdrola,10000,"TBD, MA",TBD,MA,42.036921,-71.6835,Clean Energy,N/A,2/16/22
Origin Materials,750,"Ascension Parish, LA",Ascension Parish,LA,30.20485,-90.869232,Biomanufacturing,850,2/16/22
BestCo,177,"Mooresville, NC",Mooresville,NC,35.5844,-80.8203,Biomanufacturing,394,2/17/22
Thermo Fisher,45,"Millersburg, PA",Millersburg,PA,40.5395,-76.9608,Biomanufacturing,N/A,2/21/22
Evonik ,177,"Mobile, AL",Mobile,AL,30.6889,-88.0448,Biomanufacturing,N/A,2/23/22
VinFast,4000,"Chatham County, NC",Chatham County,NC,35.7201,-79.23,EVs & Batteries,7500,3/1/22
LG Energy,1700,"Holland, MI",Holland,MI,42.76595,-86.107006,EVs & Batteries,1200,3/1/22
Edwards Vacuum,TBD,"Chandler, AZ",Chandler,AZ,33.345176,-112.49893,Semiconductors & Electronics,200,3/1/22
HYM,280,"Revere, MA",Revere,MA,42.419106,-70.991922,Biomanufacturing,N/A,3/8/22
United Safety Technology,350,"Baltimore County, MD",Baltimore County,MD,39.443167,-76.616569,Biomanufacturing,2000,3/17/22
Scorpion Biological Services,650,"Manhattan, KS",Manhattan,KS,39.168,-96.8,Biomanufacturing,500,3/18/22
LCY Chemical,100,"Casa Grande, AZ",Casa Grande,AZ,32.8795,-111.7476,Semiconductors & Electronics,57,3/23/22
Curia,100,"Albuquerque, NM",Albuquerque,NM,35.018,-106.25,Biomanufacturing,274,3/25/22
EnerVenue,264,"Shelby County, KY",Shelby County,KY,38.22,-85.21,EVs & Batteries,450,3/28/22
Fujifilm,45,"New Castle, DE",New Castle,DE,39.662,-75.56,Heavy Industry,N/A,3/28/22
Envision AESC,2000,"Bowling Green, KY",Bowling Green,KY,36.9817,-86.4444,EVs & Batteries,2000,4/1/22
Enviva,250,"Bond, MS",Bond,MS,30.886,-89.168,Biomanufacturing,350,4/5/22
Encina,1100,"Point Township, PA",Point Township,PA,40.9333,-76.7164,Heavy Industry,300,4/7/22
Nucor,350,"Lexington, NC",Lexington,NC,35.8167,-80.2586,Heavy Industry,180,4/7/22
Cleco,900,"Rapides Parish, LA",Rapides Parish,LA,31.327356,-92.430504,Heavy Industry,30,4/11/22
Hyundai Motor Group,300,"Montgomery, AL",Montgomery,AL,32.3617,-86.2792,EVs & Batteries,200,4/12/22
Statevolt,4000,"Imperial Valley, CA",Imperial Valley,CA,32.737547,-114.963301,EVs & Batteries,2500,4/19/22
Toyota,222,"Huntsville, AL",Huntsville,AL,34.70143,-86.6597,EVs & Batteries,N/A,4/19/22
Catalent,350,"Bloomington, IN",Bloomington,IN,39.1712,-86.53814,Biomanufacturing,N/A,4/21/22
World Energy / Air Products,2000,"Paramount, CA",Paramount,CA,34.083794,-118.321014,Clean Energy,N/A,4/22/22
Grand River Aseptic Manufacturing (GRAM),160,"Grand Rapids, MI",Grand Rapids,MI,42.9655,-85.6702,Biomanufacturing,N/A,4/28/22
Stellantis and Samsung SDI,2500,"Kokomo, IN",Kokomo,IN,40.4822,-86.1317,EVs & Batteries,1400,5/1/22
Novelis ,365,"Guthrie, KY",Guthrie,KY,36.648378,-87.166392,Heavy Industry,140,5/2/22
Orion Engineered Carbons,120,"La Porte, TX",La Porte,TX,29.665784,-95.019373,Clean Energy,N/A,5/5/22
SEMCORP,916,"Sidney, OH",Sidney,OH,40.33668,-84.204142,EVs & Batteries,1200,5/5/22
PCI Pharma Services,100,"Bedford, NH",Bedford,NH,42.946329,-71.513201,Biomanufacturing,N/A,5/10/22
NXP,2600,"Austin, TX",Austin,TX,30.265,-97.7466,Semiconductors & Electronics,800,5/11/22
Catalent,175,"Winchester, KY",Winchester,KY,37.9947,-84.1842,Biomanufacturing,277,5/19/22
Hyundai Motor Group,5540,"Pembroke, GA",Pembroke,GA,32.1358,-81.6226,EVs & Batteries,8100,5/20/22
Eli Lilly,3700,"Boone County, IN",Boone County,IN,40.0522,-86.4717,Biomanufacturing,700,5/22/22
SWEPCO,2200," OK, TX, and LA",,Multi-state,N/A,N/A,Clean Energy,N/A,5/31/22
Ford,1500,"Avon Lake, OH",Avon Lake,OH,41.51,-82.0186,EVs & Batteries,1800,6/1/22
Ford,100,"Lima, OH",Lima,OH,40.74184,-84.1161,EVs & Batteries,90,6/1/22
Ford,95,"Kansas City, MO",Kansas City,MO,39.091919,-94.575719,EVs & Batteries,1100,6/1/22
Yield Engineering Systems,TBD,"Chandler, AZ",Chandler,AZ,33.3062,-111.8413,Semiconductors & Electronics,N/A,6/1/22
Ford,2000,MI,MI,MI,42.2814,-83.3864,EVs & Batteries,3200,6/2/22
Evonik ,220,"Lafayette, IN",Lafayette,IN,40.4173,-86.8906,Biomanufacturing,80,6/2/22
Arbor Renewable,800,"West Baton Rouge Parish, LA",West Baton Rouge Parish,LA,30.4751,-91.3276,Clean Energy,32,6/14/22
USA Rare Earths,100,"Stillwater, OK",Stillwater,OK,36.1102,-97.0586,Clean Energy,100,6/22/22
Georgia Power,7000,Statewide,Statewide,GA,31.9937,-83.746163,Clean Energy,N/A,6/24/22
GlobalWafers,5000,"Sherman, TX",Sherman,TX,33.6356,-96.63173,Semiconductors & Electronics,1500,6/27/22
PSE&G,511,Statewide,Statewide,NJ,39.983851,-74.671826,Clean Energy,N/A,6/29/22
Absolics,600,"Covington, GA",Covington,GA,33.596,-83.8637,Semiconductors & Electronics,400,7/1/22
Consumers Energy Corporation,170,"TBD, MI",TBD,MI,42.2373,-84.3957,Clean Energy,N/A,7/7/22
Corning,139,"Rochester, NY",Rochester,NY,43.1656,-77.6114,Semiconductors & Electronics,270,7/8/22
Croda International,58,"Lamar, PA",Lamar,PA,41.015,-77.531,Biomanufacturing,N/A,7/8/22
Seagen,400,"Everett, WA",Everett,WA,47.9791,-122.1959,Biomanufacturing,200,7/11/22
Panasonic Energy,4000,"De Soto, KS",De Soto,KS,38.965,-94.9622,EVs & Batteries,4000,7/13/22
Kanto/Chemtrade,200,"Casa Grande, AZ",Casa Grande,AZ,32.8795,-111.7476,Semiconductors & Electronics,65,7/18/22
SkyWater,1800,"West Lafayette, IN",West Lafayette,IN,40.452656,-86.916843,Semiconductors & Electronics,750,7/20/22
Pfizer,470,"Pearl River, NY",Pearl River,NY,41.0639,-74.0103,Biomanufacturing,370,7/20/22
BASF,780,"Ascension Parish, LA",Ascension Parish,LA,30.20485,-90.869232,Heavy Industry,37,7/22/22
Redwood Materials,3500,"Reno, NV",Reno,NV,39.7,-119.6,EVs & Batteries,1500,7/25/22
ALLETE,970,"Becker, MN",Becker,MN,46.937629,-95.741757,Clean Energy,N/A,7/25/22
Wacker,200,"Charleston, TN",Charleston,TN,35.2862,-84.7593,Clean Energy,200,7/28/22
Ascend Elements,1000,"Hopkinsville, KY",Hopkinsville,KY,36.8547,-87.4889,EVs & Batteries,N/A,8/1/22
Hydro ASA,51,"Cressona, PA",Cressona,PA,40.345,-76.192,Heavy Industry,N/A,8/3/22
Mitsubishi Gas Chemicals,372,"TBD, OR",TBD,OR,44,-120.5,Semiconductors & Electronics,N/A,8/4/22
Lotte Aluminum,239,"Elizabethtown, KY",Elizabethtown,KY,37.78,-85.963183,EVs & Batteries,120,8/4/22
