Company,Investment,Address,City,State,LAT,LON,Industry,Jobs,Announcement Date
Onsemi,TBD,"Hudson, NH",Hudson,NH,42.45,-71.458,Semiconductors & Electronics,N/A,8/17/22
Atom Power / SK Energy,100,TBD,TBD,TBD,N/A,N/A,EVs & Batteries,N/A,8/18/22
Meyer Burger,TBD,"Goodyear, AZ",Goodyear,AZ,33.4353,-112.3577,Clean Energy,500,8/18/22
DuPont,50,"Glasgow, DE",Glasgow,DE,39.61,-75.71,Semiconductors & Electronics,11,8/22/22
Intel,20000,"Chandler, AZ",Chandler,AZ,32.95,-112.5,Semiconductors & Electronics,3000,8/23/22
MDU Resources / Otter Tail Power,439,"Southeast, ND",Southeast,ND,47.650589,-100.437012,Clean Energy,N/A,8/23/22
Honda and LG,4400,"Fayette County, OH",Fayette County,OH,39.547118,-83.461315,EVs & Batteries,2200,8/29/22
GAF Energy,100,"Georgetown, TX",Georgetown,TX,30.6566666,-97.70849,Clean Energy,260,8/29/22
Hankook Tire,1600,"Clarksville, TN",Clarksville,TN,36.3,-87.3,EVs & Batteries,1200,8/29/22
Toyota,3800,"Liberty, NC",Liberty,NC,35.85151,-79.57121,EVs & Batteries,2100,8/31/22
Convalt Energy,615,"Watertown, NY",Watertown,NY,44.29,-75.23,Clean Energy,N/A,8/31/22
Bosch,200,"Anderson, SC",Anderson,SC,34.5144,-82.6489,Clean Energy,350,8/31/22
GM,760,"Toledo, OH",Toledo,OH,41.6656,-83.5753,EVs & Batteries,N/A,9/1/22
Piedmont Lithium,582,"Etowah, TN",Etowah,TN,35.3294,-84.5283,EVs & Batteries,120,9/1/22
General Motors,491,"Marion, IN",Marion,IN,40.3206,-85.3808,EVs & Batteries,N/A,9/1/22
Cypress Creek Renewables,216,"Kinney County, TX",Kinney County,TX,29.35408,-100.451,Clean Energy,N/A,9/6/22
Corning,100,"Gilbert, AZ",Gilbert,AZ,33.295215,-111.53,Heavy Industry,250,9/6/22
Hemlock Semiconductor,375,"Thomas Township, MI",Thomas Township,MI,43.43806,-84.10697,Semiconductors & Electronics,170,9/7/22
OCI,1000,"Beaumont, TX",Beaumont,TX,30.08,-94.1267,Heavy Industry,80,9/8/22
Wolfspeed,5000,"Pittsboro, NC",Pittsboro,NC,35.5201,-79.1733,Semiconductors & Electronics,1800,9/9/22
Micron,15000,"Boise, ID",Boise,ID,43.6158,-116.2016,Semiconductors & Electronics,2000,9/12/22
ASML,200,"Wilton, CT",Wilton,CT,41.3937,-73.4515,Semiconductors & Electronics,1000,9/12/22
BHE Renewables,500,"Ravenswood, WV",Ravenswood,WV,38.951955,-81.761589,Clean Energy,N/A,9/13/22
Koch / Compass Minerals,200,"Ogden, UT",Ogden,UT,41.63,-111.7,EVs & Batteries,N/A,9/14/22
Gevo,1000,"Lake Preston, SD",Lake Preston,SD,44.361114,-97.375688,Clean Energy,90,9/15/22
Competetive Power Ventures,3000,"Doddridge County, WV",Doddridge County,WV,39.26348,-80.701232,Clean Energy,1000,9/16/22
Nucor,425,"Huger, SC",Huger,SC,33.09744,-79.80392,Heavy Industry,50,9/28/22
Heritage Battery Recycling,TBD,"Eloy, AZ",Eloy,AZ,32.7559,-111.5548,EVs & Batteries,110,9/28/22
Doral Renewables,250,"Abington Township, PA",Abington Township,PA,40.109744,-75.11486,Clean Energy,N/A,9/29/22
Envision AESC,810,"Florence, SC",Florence,SC,34.1839,-79.7742,EVs & Batteries,1170,10/1/22
Honda,700,"Fayette County, OH",Fayette County,OH,39.547118,-83.461315,EVs & Batteries,300,10/1/22
Bosch,260,"Charleston, SC",Charleston,SC,32.783062,-79.93444,EVs & Batteries,350,10/1/22
Micron,20000,"Clay, NY",Clay,NY,43.1506,-76.1942,Semiconductors & Electronics,9000,10/4/22
PNM Resources,344,Statewide,Statewide,NM,34.17144,-106.018066,Clean Energy,N/A,10/4/22
Gotion,2400,"Big Rapids, MI",Big Rapids,MI,43.699463,-85.479659,EVs & Batteries,2350,10/5/22
Our Next Energy,1600,"Detroit, MI",Detroit,MI,42.3329,-83.0478,EVs & Batteries,2112,10/5/22
Microchip,800,"Gresham, OR",Gresham,OR,45.510185,-122.452385,Semiconductors & Electronics,600,10/5/22
IBM,20000,"Hudson Valley, NY",Hudson Valley,NY,41.6711,-73.9069,Semiconductors & Electronics,N/A,10/6/22
Pattern Energy & ConnectGen,500,"Essex Township and Salina Township, IL",Essex Township and Salina Township,IL,41.123634,-87.872742,Clean Energy,N/A,10/8/22
Primergy,400,"Hesperus, CO",Hesperus,CO,37.286111,-108.039516,Clean Energy,N/A,10/10/22
Cirba Solutions,200,"Lancaster, OH",Lancaster,OH,39.7193,-82.6053,EVs & Batteries,150,10/13/22
Bocar ,176,"Huntsville, AL",Huntsville,AL,34.72954,-86.585304,EVs & Batteries,420,10/13/22
Perrigo,170,"TBD, VT",TBD,VT,43.871,-72.45,Biomanufacturing,N/A,10/18/22
BMW,1700,"Spartanburg, SC",Spartanburg,SC,34.9467,-81.9275,EVs & Batteries,300,10/19/22
Novonix,1000,"Chattanooga, TN",Chattanooga,TN,35.0456,-85.2672,EVs & Batteries,1290,10/19/22
Talon Metals,318,"Mercer County, ND",Mercer County,ND,46.80536,-100.77933,EVs & Batteries,150,10/19/22
Koura,306,"St. Gabriel, LA",St. Gabriel,LA,30.257695,-91.099271,EVs & Batteries,80,10/19/22
Sila Nanotechnologies,300,"Moses Lake, WA",Moses Lake,WA,47.1301417,-119.2780771,EVs & Batteries,300,10/19/22
Anovion Battery Materials,294,"Sanborn, NY",Sanborn,NY,43.1318,-78.864,EVs & Batteries,300,10/19/22
Group14 Technologies,223,"Moses Lake, WA",Moses Lake,WA,47.3,-119.43,EVs & Batteries,500,10/19/22
ICL,203,"St. Louis, MO",St. Louis,MO,38.6531,-90.24346,EVs & Batteries,N/A,10/19/22
Lilac Solutions,129,"Fernley, NV",Fernley,NV,39.507968,-119.251835,EVs & Batteries,250,10/19/22
Chang Chun Group,300,"Casa Grande, AZ",Casa Grande,AZ,32.8795,-111.7476,Semiconductors & Electronics,209,10/20/22
Magna ,500,"St. Clair, Highland Park, and Shelby Township, MI",St. Clair,MI,44.182205,-84.506836,EVs & Batteries,1200,10/25/22
Portland General Electric,415,"Custer, Garfield, and Rosebud, MT",Custer,MT,46.79,-107.236,Clean Energy,N/A,10/25/22
FirstEnergy,505,"TBD, NJ",TBD,NJ,39.69878,-74.52676,Clean Energy,N/A,10/27/22
First Solar,270,"Perrysburg, OH",Perrysburg,OH,41.525652,-83.637712,Clean Energy,100,10/27/22
Hyundai Mobis,205,"Montgomery, AL",Montgomery,AL,32.243799,-86.046037,EVs & Batteries,400,10/27/22
LG Chem,3200,"Clarksville, TN",Clarksville,TN,36.5308,-87.3598,EVs & Batteries,850,11/1/22
Solvay and Orbia,672,"Augusta, GA",Augusta,GA,33.38604,-82.09092,EVs & Batteries,100,11/3/22
TPI Composites ,TBD,"Newton, IA",Newton,IA,41.7033,-93.0574,Clean Energy,700,11/3/22
Sappi North America,418,"Skowhegan, ME",Skowhegan,ME,44.7681,-69.71443,Heavy Industry,N/A,11/10/22
Edwards Vacuum,319,"Genesee County, NY",Genesee County,NY,42.998158,-78.184813,Semiconductors & Electronics,600,11/10/22
Freyr Battery and Koch Industries ,2600,"Newnan, GA",Newnan,GA,33.3764,-84.7886,EVs & Batteries,723,11/11/22
Joon Georgia,317,"Statesboro, GA",Statesboro,GA,32.44891,-81.78333,EVs & Batteries,630,11/12/22
Archer Aviation,118,"Covington, GA",Covington,GA,33.544041,-83.855184,EVs & Batteries,1000,11/14/22
First Solar,1100,"Moulton, AL",Moulton,AL,34.4823,-87.2856,Clean Energy,700,11/16/22
Steel Dynamics,2500,"Columbus, MS",Columbus,MS,33.5,-88.4,Clean Energy,1000,11/17/22
Enel,1200,TBD,TBD,TBD,35.0078,-97.0929,Clean Energy,1900,5/17/23
Fujifilm Irvine,188,"Raleigh, NC",Raleigh,NC,35.7806,-78.6389,Biomanufacturing,N/A,11/22/22
Hyundai Motor Group and SK,5000,"Bartow County, GA",Bartow County,GA,32.8811,-82.4722,EVs & Batteries,3500,11/28/22
Hyundai Mobis,926,"Bryan County, GA",Bryan County,GA,31.97699,-81.46002,EVs & Batteries,1500,11/29/22
Bayer,45,"Myerstown, PA",Myerstown,PA,40.3745,-76.3027,Biomanufacturing,N/A,12/1/22
TSMC,28000,"Phoenix, AZ",Phoenix,AZ,33.8,-112.072754,Semiconductors & Electronics,4500,12/6/22
American Battery Factory,1200,"Tucson, AZ",Tucson,AZ,32.222,-111.14,EVs & Batteries,1000,12/6/22
Epitome Energy,418,"Grand Forks, ND",Grand Forks,ND,47.92,-97.12,Biomanufacturing,850,12/6/22
Sion Power,341,"Tucson, AZ",Tucson,AZ,32.25346,-110.911789,EVs & Batteries,150,12/7/22
AES and Air Products,4000,"Wilbarger County, Texas",Wilbarger County,TX,34.1463,-99.213973,Clean Energy,315,12/8/22
Kontrolmatik Technologies,279,"Colleton County, SC",Colleton County,SC,32.835018,-80.655244,EVs & Batteries,579,12/8/22
Sparkz,700,"Livermore, CA",Livermore,CA,37.680383,-121.772359,EVs & Batteries,800,12/12/22
HIF Global,6000,"Matargorda County, TX",Matargorda County,TX,28.754719,-95.945424,Clean Energy,125,12/13/22
Albemarle,226,"Kings Mountain, NC",Kings Mountain,NC,35.30315,-80.9398,EVs & Batteries,200,12/13/22
Adion Solar,TBD,"Madison, GA",Madison,GA,33.5957,-83.4679,Clean Energy,N/A,12/13/22
Redwood Materials,3500,"Camp Hall and Ridgeville, SC",Camp Hall and Ridgeville,SC,32.7831,-79.9344,EVs & Batteries,1500,12/14/22
PPL Corporation,2100,"TBD, KY",TBD,KY,37.839333,-84.27002,Clean Energy,N/A,12/15/22
CubicPV,1000,TBD,TBD,TBD,N/A,N/A,Clean Energy,1500,12/15/22
Bunge,550,"Morristown, IN",Morristown,IN,39.667,-85.697,Biomanufacturing,70,12/15/22
Abbott,536,"Bowling Green, OH",Bowling Green,OH,41.374908,-83.6504,Biomanufacturing,450,12/16/22
Entegris,600,"Colorado Springs, CO",Colorado Springs,CO,38.87,-104.76,Semiconductors & Electronics,600,12/20/22
Pfizer,870,"Kalamazoo, MI",Kalamazoo,MI,42.29,-85.5858,Biomanufacturing,550,12/21/22
Form Energy,760,"Weirton, WV",Weirton,WV,40.4179,-80.5745,EVs & Batteries,750,12/22/22
Texas Instruments,11000,"Lehi, UT",Lehi,UT,40.3879,-111.8492,Semiconductors & Electronics,1100,1/1/23
EcoPlastic,205,"Bulloch County, GA",Bulloch County,GA,32.4031,-81.731638,EVs & Batteries,456,1/5/23
Hanwha Qcells,2500,"Dalton and Catersville, GA",Dalton and Catersville,GA,34.188007,-84.79215,Clean Energy,2500,1/12/23
RI Energy ,529,Statewide,Statewide,RI,41.742325,-71.742332,Clean Energy,N/A,1/13/23
Analog Devices,1000,"Beaverton, OR",Beaverton,OR,45.4869,-122.804,Semiconductors & Electronics,280,1/16/23
IonQ,1000,"Bothell, WA",Bothell,WA,47.76009,-122.20544,Semiconductors & Electronics,N/A,1/20/23
Intel,20000,"Licking County, OH",Licking County,OH,40.0786,-82.8206,Semiconductors & Electronics,3000,1/23/23
Corvus Energy,TBD,"Bellingham, WA",Bellingham,WA,48.7519,-122.4787,EVs & Batteries,40,1/23/23
Tesla,3600,"Sparks, Nevada",Sparks,NV,39.57536,-119.715443,EVs & Batteries,3000,1/24/23
Agilent,725,"TBD, CO",TBD,CO,39.113,-105.3589,Biomanufacturing,N/A,1/26/23
LioChem,104,"Simpson County, KY",Simpson County,KY,36.740937,-86.581793,EVs & Batteries,140,1/26/23
General Motors and Lithium Americas,650,"Humboldt County, NV",Humboldt County,NV,41.2,-118.17,EVs & Batteries,1500,1/31/23
Western Digital,350,"Fremont, CA",Fremont,CA,37.5483,-121.9886,Semiconductors & Electronics,240,1/31/23
Integra Technologies,1800,"Wichita, KS",Wichita,KS,37.681045,-97.461054,Semiconductors & Electronics,2000,2/2/23
Genentech,450,"Oceanside, CA",Oceanside,CA,33.2,-117.3,Biomanufacturing,150,2/12/23
Ford,3500,"Marshall, MI",Marshall,MI,42.2609,-84.9574,EVs & Batteries,2500,2/13/23
EdgeEnergy,150,"Cincinnati, OH",Cincinnati,OH,39.196927,-84.544187,EVs & Batteries,30,2/15/23
Microchip,880,"Colorado Springs, CO",Colorado Springs,CO,38.5,-104.6,Semiconductors & Electronics,400,2/17/23
EMP Shield,1900,"Burlington, KS",Burlington,KS,38.23645,-95.729137,Semiconductors & Electronics,1200,2/20/23
Sewon America,300,"Effingham County, GA",Effingham County,GA,32.36168,-81.343372,EVs & Batteries,740,2/21/23
Nucor,3100,"Point Pleasant, WV",Point Pleasant,WV,38.8575,-82.1286,Heavy Industry,800,2/23/23
Li-Cycle,485,"Rochester, NY",Rochester,NY,43.197,-77.63,EVs & Batteries,270,2/27/23
Stellantis,155,"Kokomo, IN",Kokomo,IN,40.4822,-86.25317,EVs & Batteries,265,2/28/23
General Electric,450,Multi-state,Multi-state,Multi-state,N/A,N/A,Clean Energy,1700,3/3/23
Amprius Technologies,190,"Denver, CO",Denver,CO,39.764339,-104.855111,EVs & Batteries,N/A,3/6/23
Invenergy and LONGi,600,"Pataskala, OH",Pataskala,OH,40.011232,-82.705055,Clean Energy,850,3/13/23
CMG Clean Tech,431,"Osceola County, FL",Osceola County,FL,27.995,-81.2593,Clean Energy,1200,3/19/23
CS Wind,TBD,"Pueblo, CO",Pueblo,CO,38.170658,-104.489892,Clean Energy,850,3/21/23
Constellation Energy,800,"Braidwood and Byron, IL",Braidwood and Byron,IL,41.448474,-87.978456,Clean Energy,N/A,3/22/23
Cirba Solutions,300,"Columbia, SC",Columbia,SC,34.037509,-80.937565,EVs & Batteries,300,3/22/23
Entek,1500,"Terre Haute, IN",Terre Haute,IN,39.465053,-87.373319,EVs & Batteries,640,3/23/23
Albemarle,1300,"Chester County, SC",Chester County,SC,34.682744,-81.173933,EVs & Batteries,300,3/23/23
HAGA,147,"Bartow County, GA",Bartow County,GA,32.8811,-82.2722,Clean Energy,160,3/23/23
LG Energy,5500,"Queen Creek, AZ",Queen Creek,AZ,33.223582,-111.60746,EVs & Batteries,N/A,3/24/23
Cummins,452,"Jamestown, NY",Jamestown,NY,42.101,-79.238,Clean Energy,N/A,3/27/23
Microvast,504,"Hopkinsville, KY",Hopkinsville,KY,36.892059,-87.492986,EVs & Batteries,560,3/30/23
Adams Fork Energy/CNX,TBD,"Mingo County, WV",Mingo County,WV,37.72116,-82.159,Clean Energy,N/A,4/3/23
Scout Motors,2000,"Columbia, South Carolina",Columbia,SC,34.029095,-80.898037,EVs & Batteries,4000,4/4/23
ABB,170,"New Berlin, WI",New Berlin,WI,43.018368,-88.30424,Clean Energy,450,4/4/23
EMD Electronics,328,"Hometown, PA",Hometown,PA,40.345,-76.1,Semiconductors & Electronics,N/A,4/12/23
Roseburg Forest Products,700,"Douglas and Coos Counties, OR",Douglas and Coos Counties,OR,43.286328,-123.154476,Biomanufacturing,120,4/14/23
6K Energy,200,"Madison County, TN",Madison County,TN,35.606056,-88.833424,EVs & Batteries,230,4/18/23
GM and Samsung SDI,3000,TBD,TBD,TBD,N/A,N/A,EVs & Batteries,N/A,4/25/23
Bosch,1500,"Roseville, CA",Roseville,CA,39.062032,-120.722718,Semiconductors & Electronics,N/A,4/26/23
GM,200,"Auburn Hills, MI",Auburn Hills,MI,42.660452,-83.38421,EVs & Batteries,1000,4/28/23
Nel Hydrogen,400,"TBD, MI",TBD,MI,N/A,N/A,Clean Energy,500,5/3/23
JSW Steel,145,"Mingo Junction, Ohio",Mingo Junction,OH,40.399384,-80.763527,Heavy Industry,N/A,5/3/23
Verbio,230,"South Bend, IN",South Bend,IN,41.6764,-86.252,Biomanufacturing,N/A,5/1/23
Port of Long Beach,4700,"Long Beach, CA",Long Beach,CA,33.7701,-118.1937,Clean Energy,N/A,5/9/23
Renewable IPP,TBD,"TBD, AK",TBD,AK,61.5826,-149.321,Clean Energy,N/A,8/16/22
Anovion  ,800,"TBD, GA",TBD,GA,31.5785,-84.1557,EVs & Batteries,400,5/15/23
Re:Build Manufacturing,81,"New Kensington, PA",New Kensington,PA,40.568,-79.77,Clean Energy,300,5/1/23